Product Name,Price,Quantity,Store,Image
Banano   1  und,640,1,Carulla,https://carulla.vtexassets.com/arquivos/ids/18456833-500-auto?v=638657245740870000&width=500&height=auto&aspect=true
Cebolla Blanca  1  und,800,1,Carulla,https://carulla.vtexassets.com/arquivos/ids/18526559-500-auto?v=638670294706830000&width=500&height=auto&aspect=true
Aguacate Hass   1  und,2000,1,Carulla,https://carulla.vtexassets.com/arquivos/ids/18458031-500-auto?v=638657265567270000&width=500&height=auto&aspect=true
Tomate Chonto   1  und,1000,1,Carulla,https://carulla.vtexassets.com/arquivos/ids/18458026-500-auto?v=638657265424030000&width=500&height=auto&aspect=true
Limón Tahiti Malla  TAEQ 1000  gr,6300,1000,Carulla,https://carulla.vtexassets.com/arquivos/ids/17672734-500-auto?v=638619303193430000&width=500&height=auto&aspect=true
Pimentón  1  und,1000,1,Carulla,https://carulla.vtexassets.com/arquivos/ids/18459557-500-auto?v=638657610974330000&width=500&height=auto&aspect=true
Zanahoria   1  und,1400,1,Carulla,https://carulla.vtexassets.com/arquivos/ids/18458125-500-auto?v=638657269652800000&width=500&height=auto&aspect=true
Pepino Cohombro   1  und,2300,1,Carulla,https://carulla.vtexassets.com/arquivos/ids/18457624-500-auto?v=638657255706570000&width=500&height=auto&aspect=true
PAPA PASTUSA CARULLA 2500 gr,13000,2500,Carulla,https://carulla.vtexassets.com/arquivos/ids/14871820-500-auto?v=638457947578600000&width=500&height=auto&aspect=true
Naranja Tangelo Sel Car   1  und,2400,1,Carulla,https://carulla.vtexassets.com/arquivos/ids/18459873-500-auto?v=638657942937200000&width=500&height=auto&aspect=true
Manzana Verde   1  und,3900,1,Carulla,https://carulla.vtexassets.com/arquivos/ids/18456753-500-auto?v=638657227418500000&width=500&height=auto&aspect=true
Arandanos organicos  TAEQ 250  gr,20500,250,Carulla,https://carulla.vtexassets.com/arquivos/ids/17675813-500-auto?v=638619466421930000&width=500&height=auto&aspect=true
Papa Pastusa Granel,5200,No quantity found,Carulla,https://carulla.vtexassets.com/arquivos/ids/18457494-500-auto?v=638657253870900000&width=500&height=auto&aspect=true
Cogollo de lechuga Kosher TAEQ 250  gr,9600,250,Carulla,https://carulla.vtexassets.com/arquivos/ids/17386718-500-auto?v=638609291085700000&width=500&height=auto&aspect=true
Tomate L/Vida Sel Carul   1  und,1000,1,Carulla,https://carulla.vtexassets.com/arquivos/ids/18458035-500-auto?v=638657265599970000&width=500&height=auto&aspect=true
Espárragos   1  und,23100,1,Carulla,https://carulla.vtexassets.com/arquivos/ids/18457606-500-auto?v=638657255369200000&width=500&height=auto&aspect=true
LECHUGA VERDE CRESPA PET  130  gr,5700,130,Carulla,https://carulla.vtexassets.com/arquivos/ids/18456988-500-auto?v=638657248843800000&width=500&height=auto&aspect=true
Jengibre,2860,No quantity found,Carulla,https://carulla.vtexassets.com/arquivos/ids/18457444-500-auto?v=638657253606670000&width=500&height=auto&aspect=true
Kiwi  1  und,2200,1,Carulla,https://carulla.vtexassets.com/arquivos/ids/18459855-500-auto?v=638657942566800000&width=500&height=auto&aspect=true
Papa Criolla para Freir CARULLA 1000 gr,9600,1000,Carulla,https://carulla.vtexassets.com/arquivos/ids/14871496-500-auto?v=638457946306700000&width=500&height=auto&aspect=true
Cilantro kosher TAEQ 100  gr,4700,100,Carulla,https://carulla.vtexassets.com/arquivos/ids/17386717-500-auto?v=638609291060730000&width=500&height=auto&aspect=true
UCHUVA SIN CAPACHO  400  gr,5500,400,Carulla,https://carulla.vtexassets.com/arquivos/ids/18459519-500-auto?v=638657610465270000&width=500&height=auto&aspect=true
Manzana Bolsa   TAEQ 800  gr,8890,800,Carulla,https://carulla.vtexassets.com/arquivos/ids/17676439-500-auto?v=638619479514470000&width=500&height=auto&aspect=true
Papa Criolla C  1000  gr,9500,1000,Carulla,https://carulla.vtexassets.com/arquivos/ids/18457955-500-auto?v=638657263394030000&width=500&height=auto&aspect=true
