Product Name,Price,Quantity,Store,Image
CARNE MOLIDA DE RES X 500 G,10950,"500 g (g a $ 21,9)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003475.png
CHULETA DE CERDO RED CUT X 600 G,12200,"600 g (g a $ 20,33)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004198.png
COSTILLA DE CERDO RED CUT 500 G,10950,"500 g (g a $ 21,9)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12005388.png
LOMO DE CERDO RED CUT 500 G,11900,"500 g (g a $ 23,8)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001637.png
MILANESA DE CERDO RED CUT 500 GR,9990,"500 g (g a $ 19,98)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001633.png
TOCINO CARNUDO 500 G,9990,"500 g (g a $ 19,98)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001763.png
CAMARÓN PRECOCIDO CAPTAIN BAY 400 G,19950,"400 g (g a $ 49,88)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001961.png
CAZUELA DE MARISCOS CAPTAIN BAY 400 G,8900,"400 g (g a $ 22,25)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002525.png
FILETES DE SALMÓN CAPTAIN BAY 350 G,21950,"350 g (g a $ 62,71)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001957.png
FILETES DE TILAPIA CAPTAIN BAY 400 G,14850,"400 g (g a $ 37,13)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001958.png
LOMITOS DE TILAPIA CAPTAIN BAY 454 G,7490,"454 g (g a $ 16,5)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004553.png
MIXTURA DE MARISCOS CAPTAIN BAY 500 GRS,10500,500 g (g a $ 21),D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000978.png
MOJARRAS ENTERAS CAPTAIN BAY 1000 G,16700,"1000 g (g a $ 16,7)",D1,No image found
POSTAS DE BASA CAPTAIN BAY X 400 G,7990,"400 g (g a $ 19,98)",D1,No image found
TRUCHA ARCOIRIS CAPTAIN BAY X 800 GR,23950,"800 g (g a $ 29,94)",D1,No image found
