Product Name,Price,Quantity,Store,Image
Papaya Und  1  und,4440,1,Exito,No image found
Mango Tommy  1  und,1800,1,Exito,No image found
Plátano Verde  1  und,1700,1,Exito,No image found
ARANDANOS(blue berrie)  125  gr,3960,1,Exito,No image found
Manzana Bolsa   TAEQ 800  gr,8880,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/24653798-300-auto/Manzana-Bolsa-Taeq-TAEQ-800-gr-3400686_a.jpg?v=638619479522630000
PLATANO FRESCAMPO 1600  gr,4880,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/24439592-300-auto/Platano-Ekono-1-6kg-157710_a.jpg?v=638609240359800000
PAPA FRESCAMPO 2000 gr,9800,1,Exito,No image found
Papa Capira EXITO MARCA PROPIA 3000  gr,11340,1,Exito,No image found
TOMATE ARBOL FRESCAMPO 1000  gr,4270,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/24439593-300-auto/Tomate-De-Arbol-Frescampo-X-1000-gr-1796_a.jpg?v=638609240402870000
APIO  700 gr,4690,1,Exito,No image found
Zanahoria  1  und,940,1,Exito,No image found
Granadilla  1  und,1780,1,Exito,No image found
Brocolí  1  und,3000,1,Exito,No image found
Papa Criolla FRESCAMPO 1000  gr,9320,1,Exito,No image found
PERAS FRESCAMPO 800  gr,7600,1,Exito,No image found
Papa Criolla EXITO MARCA PROPIA 1000  gr,4800,1,Exito,No image found
CHAMPINON ENTERO  250  gr,8840,1,Exito,No image found
Manzana Verde   1  und,2430,1,Exito,No image found
Coliflor  1  und,2820,1,Exito,No image found
Pepino Zucchini   1  und,1320,1,Exito,No image found
Espinaca Bogotana  300  gr,4170,1,Exito,No image found
Limón Tahití  1  und,300,1,Exito,No image found
Lechuga Batavia  1  und,2520,1,Exito,No image found
Fresa Extra  500  gr,10240,1,Exito,No image found
Naranja Tangelo Malla  1500  gr,6680,1,Exito,No image found
Manzana Gala   1  und,1820,1,Exito,No image found
Papa Pastusa Granel,3780,1,Exito,No image found
Kiwi  1  und,1800,1,Exito,No image found
UVA ISABELLA  500  gr,3150,1,Exito,No image found
TOMATE CHERRY  500  gr,11720,1,Exito,No image found
Berenjena   1  und,1660,1,Exito,No image found
Manzana Combinada   TAEQ 1000  gr,15820,1,Exito,No image found
HABICHUELA EKONO 500  gr,3300,1,Exito,No image found
Guineo Colicero  1  und,330,1,Exito,No image found
Mandarina Onecco  1  und,620,1,Exito,No image found
Papa Criolla Granel,6200,1,Exito,No image found
Lulo  1  und,1080,1,Exito,No image found
Yuca  1  und,1960,1,Exito,No image found
UCHUVA SIN CAPACHO  400  gr,5500,1,Exito,No image found
Papa Capira  1  und,680,1,Exito,No image found
LECHUGA VERDE CRESPA HIDROP  170  gr,2580,1,Exito,No image found
AHUYAMA ENTERA,2280,1,Exito,No image found
Perejil Liso  100  gr,1780,1,Exito,No image found
Pera  1  und,1760,1,Exito,No image found
LECHUGA HIDROP. VERDE CRESPA  170  gr,3140,1,Exito,No image found
Manzana Roja   1  und,2220,1,Exito,No image found
Pepino C/Cin Amarillo  1  und,1970,1,Exito,No image found
Murrapo  1  und,340,1,Exito,No image found
Melón Común  1  und,7820,1,Exito,No image found
Mazorca  1  und,1760,1,Exito,No image found
Mora Congelada  500  gr,8140,1,Exito,No image found
Uva Red Globe,23480,1,Exito,No image found
Fresa   500  gr,8410,1,Exito,No image found
PAPA PASTUSA EXITO MARCA PROPIA 3000 gr,12600,1,Exito,No image found
Guayaba Pera  1  und,640,1,Exito,No image found
REPOLLO MORADO E UNIDAD   1  und,1500,1,Exito,No image found
Ahuyama Porcionada,2890,1,Exito,No image found
LECHUGA VERDE CRESPA PET  130  gr,5610,1,Exito,No image found
Tomate Larga Vida  1  und,580,1,Exito,No image found
PAPA CRIOLLA FREIR EXITO MARCA PROPIA 1000  gr,8680,1,Exito,No image found
Acelga  500  gr,2800,1,Exito,No image found
Champiñón Tajado  250  gr,8770,1,Exito,No image found
HABICHUELA  700  gr,5260,1,Exito,No image found
Mango Maduro  1  und,1472,1,Exito,No image found
Detergente En Polvo FAB Ultra Flash (4000  gr),34090,1,Exito,No image found
Detergente liquido floral  EXITO MARCA PROPIA  (3000  ml),12590,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/24448137-300-auto/Detergente-Liquido-Floral-EXITO-MARCA-PROPIA-3000-ml-3491790_a.jpg?v=638609477943700000
Papel ROSAL Higienico Triple Hoja Rollo (150  mts),10450,1,Exito,No image found
JABON REY Jabon Azul (300  gr),2550,1,Exito,No image found
Lavaloza Líquido AXION Limón (2300  ml),22950,1,Exito,No image found
Bolsa Basura Apartamento 51x76 T/L/D TODOS LOS DIAS SIN REFER,1890,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/24077477-300-auto/Bolsa-Basura-Apartamento-51x76-TLD-TODOS-LOS-DIAS-SIN-REFER-3008973_a.jpg?v=638588607650930000
Lavaloza Crema AXION Limón (900  gr),9750,1,Exito,No image found
Detergente REY  (900  gr),7380,1,Exito,No image found
Suavizante DOWNY Adorable Suavizante de Ropa (450  ml),8025,1,Exito,No image found
Papel higiénico FAMILIA Acolchamax megarollo x12 rollos (355.2  mts),18800,1,Exito,No image found
BLANQUEADOR CLOROX  (2260  ml),5912,1,Exito,No image found
Detergente EKONO  (2800  gr),9930,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/24446006-300-auto/Detergente-en-polvo-floral-x-2800-gr-1705882_a.jpg?v=638609416948370000
Limpia Pisos FABULOSO Antibacterial Lavanda (3000  ml),13265,1,Exito,No image found
Detergente En Polvo FAB Ultra Flash (5000  gr),39600,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/25531619-300-auto/Detergente-Pvo-Ultra-FAB-5000-gr-3430343_a.jpg?v=638672120862430000
Servilleta EKONO  (200  und),2150,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/24443912-300-auto/Servilleta-Partidas-Paq-X-200-Und-Cu-144906_a.jpg?v=638609366892730000
Lavaloza Líquido AXION Limón Doypack  (1500  ml),15600,1,Exito,No image found
Papel Higiénico SUAVE HIGIENICO TRIPLE HOJA (384  mts),30800,1,Exito,No image found
Lavaloza DERSA  (4000  ml),29625,1,Exito,No image found
Suavizante SUAVITEL Cuidado Superior Fresca Primavera (2300  ml),14950,1,Exito,No image found
Detergente En Polvo FAB Ultra Flash (2000  gr),20400,1,Exito,No image found
Bolsa De Basura Negra EKONO SIN REF,1890,1,Exito,https://exitocol.vtexassets.com/arquivos/ids/24084691-300-auto/Bolsa-De-Basura-Negra-EKONO-SIN-REF-3462329_a.jpg?v=638588717181800000
