Product Name,Price,Quantity,Store,Image
Aguacate Hass Para Hoy Turbo,1850,1 Und,Rappi,https://images.rappi.com/products/1a6fd188-d2f3-487d-9599-0400bc29ab96.png?d=300x300&e=webp&q=10
Tomate Chonto Turbo,1300,1 Und,Rappi,https://images.rappi.com/products/87a4b94a-4958-4aa2-b857-988c31145a86.png?d=300x300&e=webp&q=10
Aguacate Para Hoy Turbo,9000,1 Und,Rappi,https://images.rappi.com/products/e182e89c-1dbf-419e-a059-a8cebf7e58c3.png?d=300x300&e=webp&q=10
Plátano Extra Maduro Turbo,3600,1 Und,Rappi,https://images.rappi.com/products/6a2e0317-30e7-49ed-9332-47a7f38ac1b7.png?d=300x300&e=webp&q=10
Pepino Cohombro Turbo,2600,1 Und,Rappi,https://images.rappi.com/products/821f4258-e697-4450-8fc7-1167f90fd176.png?d=300x300&e=webp&q=10
Cilantro Peq Turbo,1900,1 Und,Rappi,https://images.rappi.com/products/8f0fe9aa-ff01-472c-bda1-1903601cbf53.png?d=300x300&e=webp&q=10
Plátano Maduro,3200,1 Und,Rappi,https://images.rappi.com/products/e6fd68bb-4c7f-4bdc-a876-36a6a5c34483.png?d=300x300&e=webp&q=10
Tomate Larga Vida,1900,1 Und,Rappi,https://images.rappi.com/products/d6040ef7-6488-44d2-bda7-ec5ad8d4d619.png?d=300x300&e=webp&q=10
Plátano Verde Turbo,3100,1 Und,Rappi,https://images.rappi.com/products/c3e5100e-0e81-42ed-a2ca-fb654cfa0de1.png?d=300x300&e=webp&q=10
Pimenton Rojo Turbo,2900,1 Und,Rappi,https://images.rappi.com/products/60b4b025-1abf-4d42-a6be-2209b8368604.png?d=300x300&e=webp&q=10
Brocoli Turbo,8500,1 Und,Rappi,https://images.rappi.com/products/1855a52e-f5f1-4c34-9720-d3b3b1190a59.png?d=300x300&e=webp&q=10
Cogollito Europeos Turbo,8500,1 Und,Rappi,https://images.rappi.com/products/497e093e-94f3-401d-8dd3-da7dfdd6f888.png?d=300x300&e=webp&q=10
Champiñon Blanco Bandeja Peq Turbo,11500,1 Und,Rappi,https://images.rappi.com/products/df13d320-49dc-4bad-87a1-a39caf090ca9.png?d=300x300&e=webp&q=10
Espinaca Bolsa Turbo,5900,1 Und,Rappi,https://images.rappi.com/products/44c9502a-f636-4e2f-96a7-480d30cda6bb.png?d=300x300&e=webp&q=10
Esparrago Manojo Peq Turbo,14500,1 Und,Rappi,https://images.rappi.com/products/5a0e1fce-c5e9-4bfb-a3e0-5a6dbf1e1915.png?d=300x300&e=webp&q=10
Tomate Cherry Peq,5900,1 Und,Rappi,https://images.rappi.com/products/b6995f40-36a0-4dbb-825e-7ffaa813b12f.png?d=300x300&e=webp&q=10
Lechuga Verde Crespa,5500,1 Und,Rappi,https://images.rappi.com/products/cc117f7a-df53-404a-b6ce-cbadce6e0267.png?d=300x300&e=webp&q=10
Zuccini Verde Turbo,4300,1 Und,Rappi,https://images.rappi.com/products/89dc659b-4b05-418a-a7b7-500466e41609.png?d=300x300&e=webp&q=10
Lechuga Rugula Turbo,6200,1 Und,Rappi,https://images.rappi.com/products/4b6b9dc4-e529-49a9-bf43-2dba28492bd3.png?d=300x300&e=webp&q=10
Pimentón Verde Experiencia Colombiana Turbo,2700,1 x 250 g,Rappi,https://images.rappi.com/products/bfaee75a-6063-4ad0-8dce-2b31c8b0a6c0.png?d=300x300&e=webp&q=10
Aguacate Hass Verde,2200,1 Und,Rappi,https://images.rappi.com/products/1a3861ac-7453-481d-b73d-e1dbf7b13a96.png?d=300x300&e=webp&q=10
Apio,6500,1 Und,Rappi,https://images.rappi.com/products/3ab220f8-3d55-45bb-85ea-e7083efb9fa4.png?d=300x300&e=webp&q=10
Pimentón Amarillo Turbo,2700,1 x 250 g,Rappi,https://images.rappi.com/products/fa7251b5-fda1-408e-a814-dad777445960.png?d=300x300&e=webp&q=10
Zuccini Amarillo Turbo,4300,1 Und,Rappi,https://images.rappi.com/products/dd3b42ed-49c0-4e19-8a26-3326436dbe20.png?d=300x300&e=webp&q=10
Berenjena Turbo,2900,1 Und,Rappi,https://images.rappi.com/products/6ca65bb6-107f-4b96-b359-d9c7742fbc05.png?d=300x300&e=webp&q=10
Lechuga Batavia Turbo,4800,1 Und,Rappi,https://images.rappi.com/products/4fc86493-314e-49cc-a82c-a8f5b1b095e8.png?d=300x300&e=webp&q=10
Habichuela Turbo,5500,1 Und,Rappi,https://images.rappi.com/products/4e2619e1-d6b1-45f0-af4a-48436757fde3.png?d=300x300&e=webp&q=10
Arveja Desgranada Turbo,4500,1 Und,Rappi,https://images.rappi.com/products/65d3496a-e6c2-4afb-b65c-843e341aff4e.png?d=300x300&e=webp&q=10
Tomate Uvalina Peq Turbo,8100,1 Und,Rappi,https://images.rappi.com/products/f82fd610-e088-46d7-bc5b-c621344a9992.png?d=300x300&e=webp&q=10
Mazorca Turbo,3500,1 Und,Rappi,https://images.rappi.com/products/075aab9e-428e-4a7c-9a36-71f01e130e8c.png?d=300x300&e=webp&q=10
